trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
605,False,"{'a': 0.85, 'e': 0.29783619769770303}",20,8,-1.6087857673536061,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
606,False,"{'a': 0.85, 'e': 0.2972405253023076}",20,0,13.59371674127536,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
607,False,"{'a': 0.85, 'e': 0.296646044251703}",25,13,22.180540497432695,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.85, 'e': 0.2960527521631996}",20,11,-4.025845309530064,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
609,False,"{'a': 0.85, 'e': 0.29546064665887317}",25,9,28.044117984017383,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.85, 'e': 0.29486972536555545}",25,7,-19.62483684469736,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
611,False,"{'a': 0.85, 'e': 0.29427998591482435}",35,26,17.695438667025705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.85, 'e': 0.2936914259429947}",25,2,-18.158489025901908,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
613,False,"{'a': 0.85, 'e': 0.2931040430911087}",30,7,3.2431710155172686,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
614,False,"{'a': 0.85, 'e': 0.2925178350049265}",30,18,-50.82146450160947,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
615,False,"{'a': 0.85, 'e': 0.29193279933491667}",25,9,-25.823724110839983,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
616,False,"{'a': 0.85, 'e': 0.2913489337362468}",20,5,-36.09141600099232,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
617,False,"{'a': 0.85, 'e': 0.2907662358687743}",20,12,12.294114200650654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.85, 'e': 0.2901847033970368}",20,6,-49.04541235534885,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
619,False,"{'a': 0.85, 'e': 0.2896043339902427}",20,11,-28.57819723147503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
620,False,"{'a': 0.85, 'e': 0.2890251253222622}",20,1,-7.9604212166444706,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
621,False,"{'a': 0.85, 'e': 0.2884470750716177}",30,0,9.661236605445449,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
622,False,"{'a': 0.85, 'e': 0.2878701809214745}",20,0,-17.817843261104745,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
623,False,"{'a': 0.85, 'e': 0.28729444055963155}",20,16,10.259950198044058,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.85, 'e': 0.28671985167851227}",25,13,5.227159852482005,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
625,False,"{'a': 0.85, 'e': 0.2861464119751552}",20,13,6.582331593809764,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.85, 'e': 0.2855741191512049}",25,14,5.412208772831158,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
627,False,"{'a': 0.85, 'e': 0.2850029709129025}",20,8,-2.7755060746241966,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
628,False,"{'a': 0.85, 'e': 0.2844329649710767}",20,4,15.502001396221118,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
629,False,"{'a': 0.85, 'e': 0.2838640990411345}",30,8,-30.911390894370964,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
630,False,"{'a': 0.85, 'e': 0.28329637084305226}",20,16,7.735353722832317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.85, 'e': 0.2827297781013662}",25,11,19.8189711959229,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.85, 'e': 0.28216431854516344}",20,6,13.389142472203531,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.85, 'e': 0.2815999899080731}",20,10,-23.171477562147892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
634,False,"{'a': 0.85, 'e': 0.281036789928257}",20,0,3.8162505027136833,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
635,False,"{'a': 0.85, 'e': 0.2804747163484005}",25,17,13.358831508123608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.85, 'e': 0.2799137669157037}",20,11,16.754771844421633,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.85, 'e': 0.2793539393818723}",30,13,-37.477798532027045,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
638,False,"{'a': 0.85, 'e': 0.2787952315031086}",20,10,-5.857677220090871,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
