trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.5, 'e': 0.5425201222922789}",20,0,-21.426880833397124,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.5398075216808175}",30,9,-70.3731802133699,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",20,11,2.3573035849785615,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.5344229416520513}",25,3,-9.214782160273584,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.531750826943791}",25,0,-43.55202068791357,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",20,11,-0.2378028412448594,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5264466124450268}",30,8,-113.72892752174994,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
129,False,"{'a': 0.5, 'e': 0.5238143793828016}",30,0,-22.676130861640416,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.5211953074858876}",20,9,-5.686442528629048,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.5185893309484582}",20,0,-54.1522825151403,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.5159963842937159}",35,3,-23.39770302782245,"{0: 28, 1: 0, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.5134164023722473}",20,6,-35.00695269656839,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.510849320360386}",25,15,18.80478209810662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.5082950737585841}",25,0,-119.45974111164229,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.5057535983897912}",25,0,-9.375188027941856,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.5032248303978422}",25,0,-123.81711608703355,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
